Seed,Theta,A,Cost
9,4.0,1,"[20088.0, 29964.0, 36000.0, 38736.0, 39744.0, 39948.0, 39988.0, 39996.0]"
9,4.1,1,"[20602.49999999953, 30721.29999999594, 36994.29999999372, 39872.499999992695, 40729.39999999239, 40942.599999992315, 40991.7999999923]"
9,4.199999999999999,1,"[21121.80000000199, 31542.000000003794, 37930.20000000043, 40823.99999999842, 41747.99999999778, 41957.999999997635, 41987.399999997615]"
9,4.299999999999999,1,"[21697.799999997962, 32271.499999996173, 38829.00000000019, 41735.80000000216, 42733.40000000283, 42939.80000000297]"
9,4.399999999999999,1,"[22096.800000000934, 32916.40000000451, 39692.40000000675, 42658.000000007734, 43687.600000008075, 43964.80000000817]"
9,4.499999999999998,1,"[22283.999999999996, 33232.49999999999, 40301.99999999999, 43487.99999999999, 44612.99999999999, 44896.49999999999, 44959.49999999999, 44990.99999999999]"
9,4.599999999999998,1,"[23124.199999998782, 34854.19999999507, 41721.9999999929, 44633.79999999198, 45645.79999999166, 45921.79999999157, 45981.59999999155]"
9,4.6999999999999975,1,"[23603.400000002162, 35724.70000000175, 42774.699999997385, 45749.79999999554, 46717.99999999494, 46971.799999994786]"
9,4.799999999999997,1,"[24201.599999997794, 35980.799999998446, 43358.40000000292, 46699.200000004945, 47678.40000000554, 47966.40000000571]"
9,4.899999999999997,1,"[24274.600000001486, 36411.90000000509, 44149.000000007385, 47534.90000000839, 48715.80000000874, 48951.00000000881, 48985.30000000882]"
9,4.9999999999999964,1,"[24999.999999999996, 37459.99999999999, 45059.99999999999, 48534.99999999999, 49619.99999999999, 49929.99999999999, 49994.99999999999]"
