Seed,Theta,A,Social_Welfare
22,4.0,1,"[17319.6, 26133.975000000006, 31620.775, 33986.35, 34743.025, 34955.175, 34996.725]"
22,4.1,1,"[17427.92499999994, 26032.274999999583, 31386.824999999568, 33829.30000000006, 34674.725, 34919.5, 34982.5, 34989.5]"
22,4.199999999999999,1,"[17325.97499999828, 26042.674999998373, 31506.249999999913, 33962.42500000005, 34782.549999999996, 34979.0]"
22,4.299999999999999,1,"[17672.900000001784, 26401.525000001515, 31496.175000000076, 33827.04999999994, 34734.0, 34944.45, 34983.174999999996, 34993.450000000004, 34993.450000000004, 34996.725]"
22,4.399999999999999,1,"[17484.574999999553, 26047.29999999993, 31367.450000000492, 33942.77499999995, 34742.12500000001, 34958.0, 34996.5]"
22,4.499999999999998,1,"[17269.899999999998, 25952.049999999992, 31382.424999999996, 33876.275, 34733.325, 34964.775, 34996.5]"
22,4.599999999999998,1,"[17384.92500000068, 26087.65000000035, 31409.674999999515, 33876.95000000005, 34762.674999999996, 34955.175]"
22,4.6999999999999975,1,"[17311.47499999811, 26245.549999998257, 31590.27499999981, 33945.02500000006, 34755.899999999994, 34965.675, 34996.5]"
22,4.799999999999997,1,"[17527.525000001937, 26142.30000000175, 31609.825000000244, 34047.999999999956, 34779.27500000001, 34941.175, 34979.9, 34993.450000000004, 34993.450000000004, 34993.450000000004, 34996.725]"
22,4.899999999999997,1,"[17317.249999998927, 26046.374999999152, 31550.27500000051, 33918.44999999995, 34772.95000000001, 34968.274999999994, 34996.5]"
22,4.9999999999999964,1,"[17722.099999999988, 26413.24999999999, 31708.97499999999, 34201.2, 34884.95, 34982.95]"
