Seed,Theta,A,Payoff
34,4.0,1,"[37843.05, 56143.35, 67667.025, 72676.125, 74490.45000000001, 74925.0, 74992.5]"
34,4.1,1,"[38127.85, 56621.95, 68080.425, 73538.5, 75446.775, 75954.625]"
34,4.199999999999999,1,"[38472.875, 57781.399999999994, 69517.925, 74676.625, 76446.05000000002, 76846.67500000002, 76984.6]"
34,4.299999999999999,1,"[39131.325, 58108.57499999999, 70164.22499999998, 75513.44999999998, 77345.47499999998, 77906.4]"
34,4.399999999999999,1,"[39202.149999999994, 58555.774999999994, 70896.84999999999, 76542.875, 78462.79999999999, 78905.20000000001, 78984.20000000001]"
34,4.499999999999998,1,"[39816.74999999999, 59326.64999999999, 71537.04999999999, 77512.67499999999, 79384.22499999999, 79903.77499999998, 79975.99999999999, 79983.99999999999]"
34,4.599999999999998,1,"[40596.374999999985, 60558.07499999998, 73113.67499999997, 78793.72499999996, 80581.04999999996, 80911.34999999995]"
34,4.6999999999999975,1,"[40408.624999999985, 61345.02499999998, 74194.12499999997, 79539.99999999997, 81451.04999999999, 81860.82499999998]"
34,4.799999999999997,1,"[41683.94999999998, 62360.29999999998, 74873.99999999997, 80459.14999999997, 82253.89999999997, 82800.79999999996, 82950.64999999997, 82991.92499999996]"
34,4.899999999999997,1,"[41381.69999999998, 62430.074999999975, 75541.34999999998, 81563.69999999997, 83377.04999999996, 83865.59999999995, 83966.39999999995, 83991.59999999995]"
34,4.9999999999999964,1,"[42754.249999999985, 64044.72499999998, 77077.84999999998, 83064.69999999998, 84703.02499999998, 84974.49999999999]"
