Seed,Theta,A,Cooperator_Frequency
6,4.0,1,"[4916, 7128, 8031, 8432, 8534, 8623, 8709, 8747, 8800, 8846, 8816, 8869, 8874, 8926, 8976, 8931, 8927, 8968, 8976, 8979, 8966, 9017, 9049, 9024, 9017, 8986, 9021, 9037, 9089, 9070, 9048, 9035, 9061, 9075, 9124, 9077, 9140, 9154, 9160, 9116, 9151, 9156, 9148, 9118, 9141, 9129, 9175, 9152, 9170, 9203, 9182, 9174, 9206, 9174, 9182, 9164, 9159, 9146, 9146, 9185, 9217, 9197, 9207, 9266, 9247, 9231, 9248, 9277, 9233, 9240, 9210, 9272, 9236, 9225, 9212, 9239, 9230, 9223, 9210, 9215, 9246, 9258, 9272, 9250, 9250, 9268, 9242, 9255, 9254, 9260, 9239, 9289, 9257, 9284, 9277, 9269, 9295, 9296, 9274, 9279, 9276, 9233, 9269, 9280, 9259, 9268, 9270, 9263, 9252, 9205, 9202, 9214, 9209, 9203, 9175, 9204, 9180, 9191, 9145, 9167, 9154, 9145, 9171, 9193, 9202, 9156, 9161, 9194, 9155, 9169, 9124, 9174, 9127, 9109, 9155, 9133, 9193, 9207, 9183, 9158, 9186, 9202, 9132, 9130, 9107, 9116, 9134, 9141, 9155, 9170, 9162, 9200, 9188, 9227, 9220, 9203, 9176, 9175, 9150, 9160, 9153, 9122, 9157, 9137, 9130, 9153, 9147, 9151, 9114, 9134, 9125, 9120, 9165, 9098, 9092, 9132, 9140, 9155, 9160, 9154, 9150, 9187, 9175, 9229, 9202, 9207, 9165, 9132, 9199, 9200, 9214, 9196, 9197, 9227, 9229, 9224, 9225, 9234, 9216, 9194, 9213, 9212, 9219, 9198, 9200, 9208, 9217, 9200, 9254, 9206, 9195, 9228, 9198, 9223, 9227, 9210, 9231, 9183, 9250, 9214, 9219, 9254, 9201, 9252, 9263, 9276, 9266, 9268, 9297, 9258, 9252, 9268, 9234, 9277, 9292, 9265, 9277, 9306, 9309, 9281, 9291, 9310, 9332, 9313, 9346, 9332, 9318, 9299, 9330, 9297]"
6,4.1,1,"[5051, 7241, 8125, 8402, 8531, 8627, 8609, 8669, 8715, 8777, 8775, 8839, 8876, 8862, 8884, 8889, 8965, 8945, 8986, 8927, 8953, 8996, 9009, 8999, 8991, 9028, 9002, 9000, 9042, 9047, 9077, 9046, 9046, 9085, 9065, 9099, 9122, 9100, 9141, 9093, 9096, 9114, 9160, 9169, 9135, 9138, 9147, 9102, 9155, 9144, 9133, 9160, 9098, 9125, 9126, 9145, 9133, 9145, 9167, 9129, 9097, 9122, 9141, 9129, 9147, 9105, 9125, 9122, 9175, 9166, 9173, 9184, 9177, 9151, 9158, 9142, 9141, 9179, 9199, 9195, 9177, 9165, 9167, 9170, 9203, 9190, 9166, 9166, 9131, 9172, 9223, 9190, 9193, 9185, 9178, 9208, 9176, 9182, 9201, 9170, 9205, 9200, 9181, 9163, 9145, 9160, 9134, 9113, 9187, 9184, 9182, 9149, 9188, 9137, 9147, 9178, 9171, 9210, 9185, 9205, 9164, 9164, 9179, 9180, 9215, 9191, 9176, 9184, 9168, 9165, 9164, 9172, 9223, 9192, 9215, 9202, 9246, 9234, 9249, 9201, 9218, 9239, 9221, 9212, 9186, 9212, 9210, 9192, 9134, 9158, 9185, 9192, 9185, 9149, 9197, 9238, 9221, 9230, 9219, 9213, 9239, 9192, 9203, 9271, 9218, 9219, 9204, 9193, 9190, 9181, 9207, 9254, 9233, 9244, 9231, 9250, 9239, 9245, 9232, 9268, 9296, 9242, 9274, 9260, 9314, 9286, 9316, 9322, 9303, 9322, 9331, 9340, 9337, 9343, 9307, 9337, 9300, 9331, 9308, 9341, 9355, 9327, 9323, 9321, 9334, 9318, 9301, 9244, 9307, 9299, 9299, 9321, 9290, 9343, 9279, 9301, 9307, 9320, 9346, 9338, 9353, 9361, 9332, 9307, 9282, 9319, 9290, 9271, 9288, 9276, 9225, 9249, 9324, 9318, 9286, 9301, 9356, 9312, 9246, 9291, 9266, 9278, 9294, 9304, 9276, 9291, 9322, 9291, 9272, 9304]"
6,4.199999999999999,1,"[4981, 7305, 8082, 8395, 8515, 8598, 8674, 8764, 8769, 8793, 8816, 8846, 8914, 8905, 8882, 8888, 8965, 8999, 9004, 9053, 9019, 9005, 9015, 8993, 9065, 9095, 9098, 9111, 9094, 9126, 9133, 9123, 9140, 9156, 9123, 9157, 9107, 9099, 9136, 9096, 9153, 9133, 9133, 9137, 9155, 9173, 9130, 9143, 9150, 9137, 9151, 9156, 9191, 9154, 9195, 9151, 9182, 9170, 9168, 9161, 9162, 9150, 9175, 9166, 9140, 9181, 9159, 9167, 9176, 9199, 9244, 9185, 9205, 9183, 9172, 9221, 9193, 9213, 9199, 9172, 9219, 9204, 9202, 9213, 9219, 9207, 9239, 9255, 9270, 9255, 9281, 9255, 9268, 9232, 9237, 9262, 9229, 9275, 9232, 9283, 9242, 9284, 9252, 9266, 9239, 9244, 9266, 9258, 9249, 9238, 9238, 9246, 9232, 9221, 9209, 9230, 9221, 9220, 9178, 9178, 9189, 9184, 9181, 9191, 9207, 9260, 9225, 9266, 9251, 9238, 9261, 9251, 9275, 9280, 9241, 9308, 9339, 9323, 9306, 9328, 9300, 9272, 9290, 9248, 9261, 9273, 9288, 9239, 9288, 9284, 9279, 9263, 9252, 9249, 9283, 9268, 9297, 9346, 9319, 9277, 9286, 9269, 9282, 9235, 9288, 9265, 9272, 9247, 9226, 9300, 9290, 9309, 9288, 9326, 9275, 9257, 9296, 9285, 9257, 9283, 9243, 9258, 9282, 9284, 9281, 9245, 9274, 9247, 9251, 9255, 9261, 9285, 9269, 9288, 9285, 9289, 9303, 9324, 9337, 9304, 9242, 9253, 9217, 9275, 9255, 9252, 9287, 9240, 9269, 9240, 9230, 9190, 9246, 9236, 9259, 9239, 9213, 9242, 9262, 9214, 9216, 9248, 9194, 9200, 9172, 9187, 9213, 9213, 9159, 9225, 9221, 9198, 9229, 9214, 9247, 9240, 9205, 9164, 9202, 9224, 9180, 9204, 9247, 9200, 9237, 9260, 9278, 9218, 9169, 9246]"
6,4.299999999999999,1,"[5097, 7289, 8096, 8390, 8558, 8646, 8719, 8748, 8790, 8849, 8801, 8838, 8929, 8892, 8933, 8916, 8945, 8963, 8998, 8994, 8981, 8938, 8992, 9022, 9043, 9053, 9061, 9072, 9084, 9085, 9093, 9108, 9099, 9096, 9092, 9094, 9058, 9093, 9107, 9113, 9142, 9133, 9102, 9118, 9114, 9095, 9133, 9132, 9102, 9129, 9122, 9122, 9131, 9108, 9161, 9182, 9181, 9153, 9176, 9126, 9159, 9115, 9171, 9176, 9145, 9121, 9164, 9146, 9184, 9213, 9199, 9230, 9213, 9215, 9217, 9212, 9200, 9248, 9171, 9200, 9186, 9175, 9159, 9194, 9217, 9189, 9190, 9229, 9204, 9232, 9257, 9245, 9220, 9211, 9203, 9230, 9214, 9228, 9222, 9188, 9194, 9196, 9225, 9196, 9192, 9192, 9217, 9265, 9238, 9222, 9206, 9234, 9212, 9233, 9268, 9236, 9218, 9267, 9287, 9221, 9248, 9229, 9226, 9243, 9258, 9243, 9248, 9241, 9238, 9194, 9195, 9196, 9220, 9252, 9257, 9250, 9234, 9220, 9224, 9208, 9263, 9208, 9248, 9272, 9219, 9199, 9225, 9233, 9243, 9271, 9228, 9261, 9222, 9221, 9225, 9256, 9246, 9242, 9242, 9207, 9189, 9225, 9279, 9241, 9227, 9218, 9247, 9260, 9269, 9220, 9233, 9214, 9218, 9181, 9185, 9190, 9187, 9211, 9217, 9190, 9204, 9200, 9202, 9169, 9145, 9199, 9153, 9173, 9164, 9144, 9178, 9156, 9176, 9201, 9205, 9238, 9227, 9230, 9228, 9283, 9233, 9279, 9248, 9217, 9208, 9273, 9229, 9246, 9225, 9240, 9244, 9254, 9229, 9214, 9182, 9202, 9212, 9194, 9231, 9218, 9192, 9206, 9177, 9197, 9244, 9256, 9226, 9225, 9224, 9249, 9244, 9251, 9229, 9192, 9189, 9219, 9172, 9149, 9204, 9196, 9192, 9184, 9245, 9278, 9243, 9232, 9269, 9229, 9294, 9270]"
6,4.399999999999999,1,"[5049, 7241, 8102, 8418, 8532, 8622, 8690, 8721, 8746, 8745, 8804, 8819, 8841, 8928, 8899, 8976, 8934, 8999, 8999, 9063, 9034, 9032, 9041, 9046, 9026, 9002, 9050, 9076, 9083, 9092, 9085, 9114, 9126, 9131, 9092, 9118, 9120, 9149, 9110, 9132, 9188, 9170, 9171, 9207, 9237, 9218, 9245, 9217, 9184, 9175, 9212, 9179, 9172, 9225, 9197, 9167, 9172, 9199, 9166, 9210, 9167, 9188, 9217, 9183, 9173, 9156, 9121, 9145, 9097, 9081, 9092, 9148, 9221, 9188, 9179, 9217, 9216, 9194, 9208, 9255, 9239, 9157, 9199, 9212, 9234, 9204, 9205, 9199, 9174, 9191, 9226, 9245, 9225, 9217, 9202, 9232, 9224, 9248, 9221, 9202, 9268, 9242, 9253, 9263, 9272, 9247, 9274, 9325, 9286, 9308, 9286, 9264, 9290, 9286, 9291, 9281, 9284, 9285, 9280, 9294, 9296, 9317, 9308, 9305, 9235, 9287, 9279, 9310, 9340, 9326, 9305, 9307, 9301, 9277, 9284, 9306, 9252, 9284, 9265, 9262, 9276, 9271, 9287, 9235, 9238, 9226, 9212, 9271, 9249, 9224, 9259, 9223, 9222, 9285, 9292, 9256, 9300, 9277, 9296, 9264, 9290, 9292, 9289, 9289, 9283, 9285, 9284, 9245, 9275, 9200, 9240, 9242, 9213, 9192, 9206, 9191, 9184, 9201, 9216, 9218, 9206, 9217, 9222, 9204, 9221, 9224, 9225, 9208, 9225, 9248, 9286, 9280, 9257, 9257, 9252, 9257, 9256, 9240, 9224, 9222, 9267, 9258, 9206, 9213, 9226, 9228, 9222, 9201, 9179, 9187, 9191, 9183, 9187, 9192, 9169, 9167, 9191, 9197, 9186, 9180, 9195, 9170, 9211, 9187, 9222, 9214, 9184, 9224, 9185, 9223, 9220, 9193, 9198, 9187, 9178, 9192, 9229, 9184, 9158, 9198, 9200, 9235, 9232, 9245, 9240, 9288, 9266, 9296, 9256, 9219]"
6,4.499999999999998,1,"[5068, 7373, 8142, 8324, 8517, 8632, 8652, 8755, 8753, 8802, 8803, 8851, 8877, 8903, 8922, 8908, 8898, 8931, 8921, 8954, 8967, 9018, 9041, 9007, 9008, 9072, 9061, 9037, 9072, 9113, 9071, 9090, 9128, 9092, 9098, 9075, 9145, 9152, 9100, 9143, 9105, 9106, 9137, 9165, 9136, 9139, 9168, 9147, 9181, 9203, 9193, 9197, 9207, 9158, 9153, 9111, 9122, 9146, 9193, 9172, 9182, 9163, 9187, 9165, 9149, 9122, 9130, 9110, 9114, 9123, 9194, 9188, 9144, 9194, 9184, 9165, 9186, 9198, 9220, 9217, 9192, 9205, 9183, 9203, 9214, 9200, 9234, 9228, 9201, 9250, 9202, 9246, 9224, 9191, 9205, 9236, 9159, 9196, 9195, 9168, 9177, 9147, 9141, 9143, 9141, 9160, 9187, 9183, 9196, 9211, 9180, 9204, 9215, 9214, 9174, 9191, 9164, 9177, 9196, 9177, 9174, 9149, 9160, 9183, 9167, 9167, 9193, 9194, 9166, 9203, 9184, 9161, 9164, 9165, 9174, 9184, 9156, 9187, 9181, 9185, 9169, 9123, 9171, 9229, 9210, 9211, 9220, 9206, 9250, 9199, 9216, 9233, 9232, 9262, 9254, 9281, 9259, 9259, 9267, 9196, 9210, 9258, 9239, 9241, 9254, 9256, 9257, 9242, 9246, 9217, 9261, 9199, 9163, 9158, 9212, 9210, 9233, 9221, 9229, 9213, 9169, 9214, 9216, 9193, 9208, 9247, 9222, 9222, 9228, 9240, 9238, 9244, 9258, 9270, 9254, 9296, 9251, 9276, 9287, 9305, 9270, 9255, 9287, 9263, 9280, 9263, 9247, 9269, 9274, 9241, 9212, 9236, 9262, 9257, 9276, 9274, 9299, 9289, 9252, 9246, 9270, 9272, 9211, 9266, 9275, 9303, 9298, 9308, 9284, 9281, 9246, 9274, 9245, 9265, 9246, 9245, 9262, 9238, 9285, 9230, 9228, 9220, 9233, 9220, 9230, 9207, 9237, 9224, 9209, 9235]"
6,4.599999999999998,1,"[5077, 7416, 8144, 8440, 8533, 8632, 8717, 8711, 8769, 8841, 8838, 8858, 8925, 8906, 8926, 8920, 8957, 8949, 9022, 8983, 9071, 9001, 9002, 9051, 9025, 9034, 9101, 9099, 9067, 9123, 9077, 9116, 9116, 9087, 9127, 9133, 9099, 9142, 9175, 9159, 9172, 9172, 9183, 9222, 9211, 9190, 9203, 9206, 9156, 9197, 9150, 9161, 9154, 9125, 9183, 9182, 9179, 9164, 9188, 9174, 9165, 9146, 9130, 9152, 9140, 9146, 9218, 9194, 9152, 9200, 9185, 9192, 9201, 9205, 9187, 9166, 9209, 9204, 9224, 9163, 9190, 9188, 9210, 9205, 9171, 9198, 9187, 9213, 9224, 9242, 9198, 9217, 9265, 9258, 9234, 9226, 9188, 9210, 9197, 9221, 9213, 9259, 9222, 9211, 9198, 9254, 9247, 9241, 9243, 9256, 9214, 9250, 9266, 9232, 9191, 9210, 9215, 9191, 9159, 9209, 9198, 9182, 9172, 9218, 9185, 9163, 9233, 9228, 9198, 9187, 9216, 9219, 9208, 9232, 9205, 9271, 9264, 9257, 9287, 9272, 9275, 9269, 9296, 9260, 9313, 9256, 9259, 9254, 9269, 9229, 9190, 9229, 9244, 9214, 9226, 9250, 9250, 9197, 9186, 9187, 9153, 9176, 9201, 9195, 9191, 9180, 9207, 9192, 9209, 9189, 9158, 9215, 9218, 9193, 9200, 9215, 9228, 9215, 9227, 9228, 9228, 9244, 9224, 9222, 9237, 9213, 9193, 9184, 9208, 9179, 9169, 9176, 9186, 9192, 9225, 9167, 9199, 9212, 9185, 9161, 9149, 9121, 9151, 9145, 9144, 9157, 9199, 9191, 9195, 9212, 9197, 9203, 9188, 9197, 9196, 9194, 9226, 9184, 9168, 9205, 9214, 9235, 9252, 9213, 9229, 9243, 9266, 9200, 9212, 9222, 9236, 9279, 9257, 9228, 9254, 9283, 9249, 9271, 9272, 9280, 9295, 9267, 9287, 9259, 9264, 9289, 9301, 9314, 9275, 9300]"
6,4.6999999999999975,1,"[5050, 7316, 8142, 8402, 8482, 8559, 8641, 8666, 8697, 8789, 8808, 8909, 8860, 8851, 8891, 8864, 8959, 8972, 8985, 8998, 8961, 8937, 8943, 8941, 8962, 8954, 9007, 8972, 9013, 9067, 9060, 9079, 9095, 9090, 9041, 9038, 9056, 9049, 9055, 9092, 9112, 9125, 9051, 9121, 9112, 9126, 9084, 9095, 9134, 9113, 9086, 9108, 9120, 9072, 9073, 9156, 9083, 9118, 9148, 9109, 9144, 9146, 9188, 9165, 9182, 9184, 9145, 9137, 9173, 9199, 9206, 9189, 9228, 9241, 9250, 9256, 9248, 9256, 9234, 9253, 9303, 9288, 9284, 9291, 9270, 9262, 9268, 9307, 9281, 9287, 9295, 9298, 9288, 9295, 9335, 9293, 9277, 9312, 9300, 9305, 9269, 9295, 9271, 9315, 9323, 9320, 9265, 9327, 9310, 9279, 9238, 9260, 9230, 9202, 9224, 9211, 9217, 9259, 9245, 9252, 9229, 9271, 9241, 9258, 9232, 9207, 9217, 9271, 9191, 9208, 9212, 9200, 9195, 9220, 9214, 9202, 9208, 9188, 9189, 9162, 9164, 9201, 9190, 9222, 9188, 9157, 9179, 9194, 9180, 9213, 9247, 9302, 9268, 9242, 9274, 9288, 9316, 9278, 9325, 9326, 9283, 9266, 9244, 9254, 9262, 9223, 9247, 9214, 9254, 9246, 9248, 9246, 9218, 9169, 9222, 9230, 9236, 9217, 9221, 9242, 9211, 9218, 9248, 9236, 9195, 9223, 9245, 9192, 9236, 9214, 9232, 9243, 9236, 9227, 9234, 9244, 9223, 9215, 9205, 9226, 9241, 9250, 9252, 9216, 9243, 9180, 9214, 9231, 9234, 9213, 9202, 9213, 9232, 9234, 9216, 9217, 9231, 9228, 9253, 9245, 9237, 9231, 9200, 9228, 9247, 9203, 9220, 9213, 9207, 9253, 9195, 9240, 9164, 9232, 9227, 9211, 9227, 9216, 9178, 9219, 9189, 9222, 9226, 9238, 9236, 9253, 9239, 9265, 9262, 9272]"
6,4.799999999999997,1,"[5015, 7294, 8145, 8439, 8524, 8554, 8690, 8710, 8745, 8781, 8753, 8812, 8855, 8877, 8905, 8963, 8948, 8945, 8953, 8987, 8996, 8988, 9054, 9051, 9002, 9020, 9069, 9033, 9047, 9106, 9127, 9134, 9111, 9109, 9109, 9091, 9079, 9089, 9137, 9102, 9102, 9093, 9092, 9096, 9141, 9127, 9141, 9163, 9145, 9155, 9142, 9171, 9137, 9151, 9140, 9173, 9141, 9151, 9159, 9151, 9163, 9149, 9153, 9184, 9194, 9183, 9231, 9228, 9202, 9227, 9238, 9228, 9220, 9220, 9274, 9239, 9177, 9183, 9168, 9220, 9198, 9157, 9183, 9165, 9172, 9199, 9193, 9226, 9266, 9212, 9248, 9220, 9211, 9251, 9209, 9206, 9209, 9212, 9214, 9230, 9226, 9189, 9226, 9232, 9229, 9219, 9201, 9208, 9218, 9239, 9247, 9223, 9236, 9244, 9216, 9231, 9216, 9234, 9202, 9230, 9255, 9254, 9282, 9252, 9274, 9307, 9326, 9337, 9329, 9301, 9295, 9270, 9249, 9297, 9267, 9296, 9275, 9258, 9273, 9279, 9282, 9257, 9262, 9260, 9255, 9263, 9247, 9267, 9213, 9206, 9295, 9274, 9211, 9304, 9283, 9265, 9216, 9258, 9215, 9232, 9204, 9212, 9205, 9210, 9220, 9223, 9226, 9258, 9254, 9269, 9227, 9246, 9239, 9265, 9295, 9268, 9259, 9253, 9245, 9235, 9252, 9227, 9230, 9238, 9236, 9250, 9253, 9223, 9232, 9262, 9256, 9271, 9278, 9208, 9212, 9221, 9229, 9241, 9264, 9265, 9253, 9223, 9260, 9310, 9303, 9267, 9284, 9287, 9250, 9257, 9260, 9284, 9268, 9284, 9243, 9228, 9265, 9266, 9219, 9208, 9236, 9238, 9288, 9253, 9240, 9219, 9256, 9272, 9233, 9252, 9234, 9247, 9272, 9246, 9219, 9277, 9339, 9349, 9322, 9308, 9282, 9298, 9287, 9242, 9241, 9234, 9245, 9272, 9229, 9239]"
6,4.899999999999997,1,"[4944, 7184, 8030, 8331, 8482, 8597, 8644, 8723, 8753, 8780, 8849, 8881, 8916, 8924, 8952, 8943, 8929, 8948, 8987, 9027, 9058, 9015, 9073, 9072, 9082, 9051, 9077, 9093, 9088, 9089, 9125, 9076, 9084, 9064, 9075, 9089, 9087, 9144, 9135, 9100, 9144, 9157, 9189, 9173, 9137, 9143, 9178, 9156, 9126, 9171, 9140, 9152, 9119, 9163, 9208, 9193, 9184, 9171, 9178, 9211, 9187, 9203, 9196, 9217, 9145, 9215, 9167, 9192, 9168, 9210, 9189, 9225, 9202, 9201, 9250, 9223, 9255, 9243, 9195, 9227, 9239, 9216, 9197, 9216, 9238, 9246, 9226, 9278, 9265, 9250, 9233, 9232, 9263, 9246, 9273, 9262, 9220, 9221, 9207, 9230, 9222, 9214, 9249, 9283, 9247, 9250, 9272, 9300, 9262, 9261, 9240, 9215, 9211, 9262, 9232, 9235, 9227, 9198, 9236, 9201, 9217, 9159, 9181, 9190, 9201, 9194, 9183, 9211, 9201, 9158, 9191, 9253, 9222, 9245, 9233, 9274, 9256, 9297, 9288, 9273, 9234, 9233, 9251, 9274, 9284, 9231, 9235, 9277, 9253, 9278, 9210, 9245, 9233, 9202, 9213, 9244, 9240, 9226, 9233, 9255, 9237, 9244, 9206, 9237, 9257, 9223, 9259, 9248, 9191, 9193, 9175, 9189, 9170, 9181, 9198, 9180, 9228, 9209, 9209, 9230, 9237, 9241, 9259, 9268, 9242, 9244, 9230, 9240, 9234, 9238, 9220, 9289, 9277, 9247, 9273, 9250, 9256, 9248, 9271, 9266, 9279, 9269, 9265, 9294, 9265, 9264, 9294, 9264, 9218, 9239, 9222, 9238, 9245, 9247, 9232, 9217, 9237, 9213, 9262, 9234, 9225, 9213, 9267, 9245, 9248, 9248, 9256, 9263, 9248, 9255, 9217, 9240, 9235, 9216, 9235, 9229, 9255, 9262, 9211, 9235, 9232, 9222, 9222, 9230, 9245, 9229, 9245, 9234, 9238, 9198]"
