Seed,Theta,A,Payoff
39,4.0,1,"[35859.875, 43941.4, 40846.55, 37572.65, 35827.850000000006, 35125.775, 35017.0]"
39,4.1,1,"[36130.35, 44156.775, 41500.125, 37359.649999999994, 35580.625, 35090.675, 35009.025]"
39,4.199999999999999,1,"[37243.67499999999, 44831.49999999999, 41537.34999999999, 37556.75, 35449.7, 35076.3, 35013.3]"
39,4.299999999999999,1,"[37390.975, 45195.99999999999, 41569.75, 37688.8, 35764.299999999996, 35157.85, 35013.7]"
39,4.399999999999999,1,"[38065.95, 45592.45, 41400.625, 37527.424999999996, 35726.15, 35149.225, 35042.3]"
39,4.499999999999998,1,"[38361.72499999999, 45974.32499999999, 42191.45, 37498.5, 35697.45, 35197.225000000006]"
39,4.599999999999998,1,"[39026.94999999999, 46576.499999999985, 42677.825, 37898.774999999994, 35807.100000000006, 35156.899999999994, 35029.8]"
39,4.6999999999999975,1,"[39531.499999999985, 46653.82499999999, 42378.774999999994, 37846.5, 35818.425, 35109.95, 35015.3]"
39,4.799999999999997,1,"[39529.39999999999, 47342.84999999999, 43091.674999999996, 37877.3, 35791.8, 35206.7]"
39,4.899999999999997,1,"[40212.52499999998, 47843.69999999998, 43042.49999999999, 37984.325, 35801.95, 35158.9, 35016.1]"
39,4.9999999999999964,1,"[40588.099999999984, 48192.14999999998, 43373.04999999999, 37935.075, 35643.125, 35102.175, 35028.225]"
