Seed,Theta,A,Payoff
13,4.0,1,"[36821.399999999994, 55974.825, 67505.25000000001, 72883.875, 74497.725, 74895.0, 74985.0]"
13,4.1,1,"[37863.425, 57089.1, 68590.45, 74070.725, 75575.0, 75909.4, 75970.34999999999]"
13,4.199999999999999,1,"[38678.825, 57865.499999999985, 69324.45, 74791.90000000001, 76477.75, 76899.67500000002, 76984.82500000001]"
13,4.299999999999999,1,"[39589.424999999996, 58980.59999999999, 70824.9, 75887.99999999997, 77580.825, 77930.47499999999]"
13,4.399999999999999,1,"[39587.34999999999, 59590.075, 71369.875, 76725.7, 78361.225, 78865.70000000001, 78968.4]"
13,4.499999999999998,1,"[40427.97499999999, 60306.774999999994, 72137.12499999999, 77400.59999999998, 79368.44999999998, 79904.44999999998, 79975.99999999999]"
13,4.599999999999998,1,"[39616.72499999999, 60173.09999999998, 73101.14999999998, 78699.14999999997, 80458.19999999995, 80878.49999999997, 80975.47499999998]"
13,4.6999999999999975,1,"[41625.999999999985, 62175.34999999998, 74398.82499999998, 79721.07499999998, 81394.54999999999, 81868.94999999998, 81975.69999999998]"
13,4.799999999999997,1,"[40925.34999999999, 62217.099999999984, 74670.39999999997, 80529.44999999995, 82487.94999999997, 82958.94999999997]"
13,4.899999999999997,1,"[41728.499999999985, 62646.299999999974, 76440.22499999998, 81775.12499999997, 83479.64999999997, 83865.59999999995, 83991.59999999995]"
13,4.9999999999999964,1,"[42742.89999999998, 63569.47499999998, 76518.79999999997, 82392.07499999998, 84532.49999999999, 84940.5, 84991.49999999999]"
