Seed,Theta,A,Payoff
9,4.0,1,"[np.float64(47894.8), np.float64(53780.0), np.float64(62190.6), np.float64(68322.8), np.float64(71902.6), np.float64(74329.4), np.float64(76149.79999999999), np.float64(77175.80000000002), np.float64(77520.0), np.float64(78194.6), np.float64(78373.6), np.float64(78844.0), np.float64(78909.2), np.float64(79216.2), np.float64(79312.2), np.float64(79398.6), np.float64(79381.0), np.float64(79469.20000000001), np.float64(79475.6), np.float64(79501.20000000001), np.float64(79531.4), np.float64(79528.0), np.float64(79534.40000000001), np.float64(79558.4), np.float64(79572.8), np.float64(79590.4), np.float64(79576.0), np.float64(79595.2)]"
9,4.1,1,"[np.float64(48374.100000000006), np.float64(55829.5), np.float64(63724.3), np.float64(69984.5), np.float64(73687.8), np.float64(76204.9), np.float64(77697.0), np.float64(78606.8), np.float64(79280.9), np.float64(79762.29999999999), np.float64(79862.0), np.float64(80112.7), np.float64(80269.1), np.float64(80363.59999999999), np.float64(80423.0), np.float64(80500.8), np.float64(80535.4), np.float64(80536.69999999998), np.float64(80590.2), np.float64(80583.7), np.float64(80577.2), np.float64(80590.2), np.float64(80583.7), np.float64(80590.2), np.float64(80583.7), np.float64(80595.1)]"
9,4.199999999999999,1,"[np.float64(48872.8), np.float64(57116.4), np.float64(66129.4), np.float64(71237.20000000001), np.float64(75429.40000000002), np.float64(78046.8), np.float64(79416.20000000001), np.float64(80275.80000000002), np.float64(80834.60000000002), np.float64(81039.20000000001), np.float64(81213.20000000001), np.float64(81303.0), np.float64(81437.6), np.float64(81508.60000000002), np.float64(81551.80000000002), np.float64(81560.00000000001), np.float64(81555.20000000001), np.float64(81573.40000000002), np.float64(81590.00000000001), np.float64(81595.00000000001), np.float64(81595.00000000001), np.float64(81595.00000000001), np.float64(81595.00000000001), np.float64(81588.40000000002), np.float64(81588.40000000002)]"
9,4.299999999999999,1,"[np.float64(49630.999999999985), np.float64(57674.999999999985), np.float64(66752.29999999999), np.float64(73415.19999999998), np.float64(77207.19999999998), np.float64(79264.09999999998), np.float64(80737.69999999998), np.float64(81317.19999999998), np.float64(81869.49999999997), np.float64(82231.09999999998), np.float64(82363.09999999998), np.float64(82414.09999999998), np.float64(82478.49999999997), np.float64(82562.69999999998), np.float64(82566.19999999998), np.float64(82577.99999999999), np.float64(82594.9), np.float64(82594.9), np.float64(82588.19999999998)]"
9,4.399999999999999,1,"[np.float64(49917.99999999999), np.float64(60060.79999999999), np.float64(69189.0), np.float64(75366.4), np.float64(78929.59999999999), np.float64(81063.6), np.float64(82362.59999999999), np.float64(82798.0), np.float64(83250.4), np.float64(83391.6), np.float64(83440.0), np.float64(83515.6), np.float64(83541.6), np.float64(83577.6), np.float64(83589.6), np.float64(83594.8), np.float64(83594.8), np.float64(83594.8)]"
9,4.499999999999998,1,"[np.float64(49864.799999999996), np.float64(59683.0), np.float64(69649.9), np.float64(76112.29999999999), np.float64(80302.59999999999), np.float64(82329.89999999998), np.float64(83506.49999999997), np.float64(84081.09999999998), np.float64(84275.99999999999), np.float64(84467.99999999999), np.float64(84505.29999999999), np.float64(84559.9), np.float64(84594.69999999998)]"
9,4.599999999999998,1,"[np.float64(50979.59999999999), np.float64(62013.79999999998), np.float64(71791.39999999998), np.float64(78530.59999999998), np.float64(82017.39999999997), np.float64(83927.99999999996), np.float64(84829.39999999997), np.float64(85245.99999999996), np.float64(85415.39999999997), np.float64(85528.59999999996), np.float64(85594.59999999996), np.float64(85587.59999999996)]"
9,4.6999999999999975,1,"[np.float64(51472.39999999998), np.float64(63194.19999999998), np.float64(74005.39999999997), np.float64(80037.19999999998), np.float64(83505.89999999998), np.float64(85358.19999999998), np.float64(86241.59999999998), np.float64(86448.99999999999), np.float64(86552.79999999999), np.float64(86581.9), np.float64(86594.49999999999)]"
9,4.799999999999997,1,"[np.float64(52089.19999999999), np.float64(64869.99999999998), np.float64(74767.59999999998), np.float64(81185.59999999998), np.float64(84665.99999999997), np.float64(86482.19999999998), np.float64(87191.19999999997), np.float64(87484.79999999997), np.float64(87550.39999999997), np.float64(87581.59999999996), np.float64(87587.19999999997)]"
9,4.899999999999997,1,"[np.float64(51824.59999999999), np.float64(65222.99999999998), np.float64(75931.09999999998), np.float64(82685.19999999995), np.float64(86159.89999999997), np.float64(87846.59999999995), np.float64(88351.59999999995), np.float64(88552.79999999994), np.float64(88594.29999999994)]"
9,4.9999999999999964,1,"[np.float64(52699.999999999985), np.float64(66512.79999999999), np.float64(77901.99999999999), np.float64(84560.39999999998), np.float64(87785.4), np.float64(89039.59999999998), np.float64(89425.59999999998), np.float64(89544.19999999998), np.float64(89566.4)]"
