Seed,Theta,A,Cooperator_Frequency
9,4.0,1,"[np.int64(5022), np.int64(5939), np.int64(7153), np.int64(8090), np.int64(8667), np.int64(9069), np.int64(9373), np.int64(9550), np.int64(9623), np.int64(9741), np.int64(9780), np.int64(9859), np.int64(9876), np.int64(9928), np.int64(9946), np.int64(9962), np.int64(9962), np.int64(9976), np.int64(9978), np.int64(9982), np.int64(9987), np.int64(9987), np.int64(9988), np.int64(9992), np.int64(9995), np.int64(9998), np.int64(9996), np.int64(9999)]"
9,4.1,1,"[np.int64(5025), np.int64(6135), np.int64(7277), np.int64(8231), np.int64(8816), np.int64(9225), np.int64(9486), np.int64(9640), np.int64(9761), np.int64(9843), np.int64(9866), np.int64(9911), np.int64(9939), np.int64(9956), np.int64(9968), np.int64(9982), np.int64(9988), np.int64(9989), np.int64(9998), np.int64(9997), np.int64(9996), np.int64(9998), np.int64(9997), np.int64(9998), np.int64(9997), np.int64(9999)]"
9,4.199999999999999,1,"[np.int64(5029), np.int64(6220), np.int64(7504), np.int64(8293), np.int64(8949), np.int64(9376), np.int64(9612), np.int64(9763), np.int64(9860), np.int64(9900), np.int64(9929), np.int64(9947), np.int64(9971), np.int64(9983), np.int64(9991), np.int64(9992), np.int64(9992), np.int64(9995), np.int64(9998), np.int64(9999), np.int64(9999), np.int64(9999), np.int64(9999), np.int64(9998), np.int64(9998)]"
9,4.299999999999999,1,"[np.int64(5046), np.int64(6216), np.int64(7499), np.int64(8490), np.int64(9084), np.int64(9427), np.int64(9673), np.int64(9778), np.int64(9869), np.int64(9933), np.int64(9957), np.int64(9967), np.int64(9979), np.int64(9993), np.int64(9994), np.int64(9996), np.int64(9999), np.int64(9999), np.int64(9998)]"
9,4.399999999999999,1,"[np.int64(5022), np.int64(6449), np.int64(7744), np.int64(8657), np.int64(9226), np.int64(9572), np.int64(9780), np.int64(9862), np.int64(9938), np.int64(9963), np.int64(9972), np.int64(9985), np.int64(9990), np.int64(9996), np.int64(9998), np.int64(9999), np.int64(9999), np.int64(9999)]"
9,4.499999999999998,1,"[np.int64(4952), np.int64(6316), np.int64(7697), np.int64(8645), np.int64(9288), np.int64(9615), np.int64(9811), np.int64(9909), np.int64(9944), np.int64(9976), np.int64(9983), np.int64(9993), np.int64(9999)]"
9,4.599999999999998,1,"[np.int64(5027), np.int64(6533), np.int64(7892), np.int64(8877), np.int64(9417), np.int64(9721), np.int64(9867), np.int64(9939), np.int64(9969), np.int64(9987), np.int64(9999), np.int64(9998)]"
9,4.6999999999999975,1,"[np.int64(5022), np.int64(6588), np.int64(8068), np.int64(8962), np.int64(9497), np.int64(9796), np.int64(9938), np.int64(9974), np.int64(9992), np.int64(9997), np.int64(9999)]"
9,4.799999999999997,1,"[np.int64(5042), np.int64(6734), np.int64(8080), np.int64(9009), np.int64(9534), np.int64(9815), np.int64(9930), np.int64(9980), np.int64(9992), np.int64(9997), np.int64(9998)]"
9,4.899999999999997,1,"[np.int64(4954), np.int64(6680), np.int64(8131), np.int64(9098), np.int64(9619), np.int64(9876), np.int64(9960), np.int64(9992), np.int64(9999)]"
9,4.9999999999999964,1,"[np.int64(5000), np.int64(6773), np.int64(8280), np.int64(9237), np.int64(9715), np.int64(9909), np.int64(9972), np.int64(9992), np.int64(9995)]"
