Seed,Theta,A,Payoff
2,4.0,1,"[np.float64(48836.6), np.float64(55132.6), np.float64(63216.0), np.float64(68763.6), np.float64(72244.2), np.float64(74257.0), np.float64(76228.0), np.float64(77080.4), np.float64(78018.0), np.float64(78390.79999999999), np.float64(78691.79999999999), np.float64(78949.2), np.float64(79070.6), np.float64(79228.79999999999), np.float64(79345.6), np.float64(79427.4), np.float64(79481.6), np.float64(79548.8), np.float64(79552.0), np.float64(79563.20000000001), np.float64(79574.4), np.float64(79561.6), np.float64(79580.79999999999), np.float64(79574.4), np.float64(79571.20000000001), np.float64(79590.4), np.float64(79584.0), np.float64(79595.2), np.float64(79588.8), np.float64(79588.8)]"
2,4.1,1,"[np.float64(47261.2), np.float64(55070.100000000006), np.float64(63309.7), np.float64(69426.6), np.float64(73402.6), np.float64(75986.9), np.float64(77605.9), np.float64(78588.8), np.float64(79205.6), np.float64(79557.4), np.float64(79966.5), np.float64(80212.1), np.float64(80290.6), np.float64(80393.0), np.float64(80469.6), np.float64(80498.9), np.float64(80504.1), np.float64(80546.2), np.float64(80556.19999999998), np.float64(80567.59999999999), np.float64(80574.09999999999), np.float64(80588.59999999999)]"
2,4.199999999999999,1,"[np.float64(48424.4), np.float64(56599.600000000006), np.float64(64815.4), np.float64(71160.20000000001), np.float64(75054.80000000002), np.float64(77767.6), np.float64(79077.80000000002), np.float64(79970.80000000002), np.float64(80458.40000000002), np.float64(80814.20000000001), np.float64(81068.00000000001), np.float64(81246.40000000002), np.float64(81372.80000000002), np.float64(81483.80000000002), np.float64(81522.00000000003), np.float64(81543.40000000002), np.float64(81543.6), np.float64(81543.60000000002), np.float64(81575.00000000001), np.float64(81583.40000000002), np.float64(81595.00000000001), np.float64(81595.00000000001), np.float64(81590.00000000001), np.float64(81590.00000000001), np.float64(81583.40000000002), np.float64(81595.00000000001), np.float64(81595.00000000001)]"
2,4.299999999999999,1,"[np.float64(49465.09999999999), np.float64(57878.79999999999), np.float64(66723.69999999998), np.float64(73731.59999999999), np.float64(77303.09999999999), np.float64(79368.99999999999), np.float64(80472.29999999999), np.float64(81403.39999999998), np.float64(81835.79999999999), np.float64(82098.49999999997), np.float64(82245.99999999997), np.float64(82373.99999999999), np.float64(82498.69999999998), np.float64(82535.89999999998), np.float64(82552.79999999999), np.float64(82549.59999999998), np.float64(82584.69999999998), np.float64(82562.99999999999), np.float64(82576.4), np.float64(82583.09999999998), np.float64(82588.19999999998), np.float64(82594.9), np.float64(82588.19999999998)]"
2,4.399999999999999,1,"[np.float64(49432.399999999994), np.float64(58712.59999999999), np.float64(68565.4), np.float64(75119.59999999999), np.float64(78782.0), np.float64(80941.8), np.float64(81901.2), np.float64(82679.6), np.float64(83122.8), np.float64(83258.2), np.float64(83426.40000000001), np.float64(83473.0), np.float64(83527.6), np.float64(83538.0), np.float64(83563.6), np.float64(83567.20000000001), np.float64(83589.6)]"
2,4.499999999999998,1,"[np.float64(50223.59999999999), np.float64(60289.0), np.float64(70151.79999999999), np.float64(77307.09999999999), np.float64(80655.79999999999), np.float64(82631.49999999999), np.float64(83645.0), np.float64(84215.29999999999), np.float64(84376.19999999998), np.float64(84499.79999999999), np.float64(84543.79999999999), np.float64(84554.9), np.float64(84594.69999999998)]"
2,4.599999999999998,1,"[np.float64(50891.999999999985), np.float64(61899.59999999998), np.float64(71566.39999999998), np.float64(77816.79999999996), np.float64(81872.79999999996), np.float64(83727.59999999995), np.float64(84739.99999999996), np.float64(85217.19999999995), np.float64(85398.99999999996), np.float64(85521.99999999997), np.float64(85578.39999999997), np.float64(85589.19999999997)]"
2,4.6999999999999975,1,"[np.float64(51890.89999999998), np.float64(63302.499999999985), np.float64(73787.09999999998), np.float64(80081.89999999998), np.float64(83401.99999999999), np.float64(85384.69999999998), np.float64(86129.9), np.float64(86413.4), np.float64(86520.19999999998), np.float64(86576.79999999999), np.float64(86594.69999999998)]"
2,4.799999999999997,1,"[np.float64(51701.79999999999), np.float64(64300.19999999998), np.float64(75048.19999999998), np.float64(81699.79999999997), np.float64(85100.19999999997), np.float64(86602.39999999998), np.float64(87317.59999999998), np.float64(87536.99999999997), np.float64(87588.79999999996), np.float64(87583.19999999995), np.float64(87587.19999999997), np.float64(87594.39999999997)]"
2,4.899999999999997,1,"[np.float64(52289.29999999999), np.float64(65696.69999999998), np.float64(76402.89999999998), np.float64(83023.89999999997), np.float64(86508.79999999996), np.float64(87868.39999999997), np.float64(88384.49999999994), np.float64(88551.39999999995), np.float64(88588.59999999995)]"
2,4.9999999999999964,1,"[np.float64(53210.19999999998), np.float64(67258.19999999998), np.float64(78253.39999999998), np.float64(84654.19999999998), np.float64(87806.59999999998), np.float64(88948.4), np.float64(89423.59999999998), np.float64(89533.19999999998), np.float64(89588.4)]"
