Seed,Theta,A,Payoff
1,4.0,1,"[np.float64(47727.399999999994), np.float64(53632.4), np.float64(61994.799999999996), np.float64(68294.6), np.float64(72209.4), np.float64(74776.8), np.float64(76267.2), np.float64(77136.2), np.float64(77735.6), np.float64(78450.2), np.float64(78673.8), np.float64(78907.2), np.float64(79045.0), np.float64(79232.2), np.float64(79321.79999999999), np.float64(79379.19999999998), np.float64(79424.0), np.float64(79457.6), np.float64(79484.79999999999), np.float64(79540.79999999999), np.float64(79574.4), np.float64(79560.0), np.float64(79577.6), np.float64(79577.6), np.float64(79584.0), np.float64(79579.20000000001)]"
1,4.1,1,"[np.float64(47441.0), np.float64(54988.200000000004), np.float64(63774.700000000004), np.float64(69636.5), np.float64(73389.4), np.float64(75960.9), np.float64(77527.0), np.float64(78391.1), np.float64(79285.6), np.float64(79504.3), np.float64(79845.70000000001), np.float64(79934.2), np.float64(80243.0), np.float64(80383.1), np.float64(80429.1), np.float64(80495.8), np.float64(80529.9), np.float64(80547.79999999999), np.float64(80531.6), np.float64(80552.7), np.float64(80541.4), np.float64(80585.29999999999), np.float64(80588.6), np.float64(80595.1)]"
1,4.199999999999999,1,"[np.float64(49276.8), np.float64(57717.0), np.float64(66073.4), np.float64(71717.40000000001), np.float64(75432.00000000001), np.float64(77749.6), np.float64(78934.20000000001), np.float64(79781.6), np.float64(80366.20000000001), np.float64(80963.40000000002), np.float64(81228.0), np.float64(81344.20000000001), np.float64(81384.20000000001), np.float64(81443.80000000002), np.float64(81477.00000000003), np.float64(81526.80000000002), np.float64(81527.0), np.float64(81558.40000000002), np.float64(81570.00000000001), np.float64(81540.40000000002), np.float64(81553.60000000002), np.float64(81576.80000000002), np.float64(81583.40000000002), np.float64(81590.00000000001), np.float64(81590.00000000001), np.float64(81590.00000000001), np.float64(81590.00000000001), np.float64(81595.00000000001)]"
1,4.299999999999999,1,"[np.float64(49519.59999999999), np.float64(58412.999999999985), np.float64(66845.09999999998), np.float64(73136.69999999998), np.float64(77049.69999999998), np.float64(79244.59999999998), np.float64(80463.69999999998), np.float64(81436.19999999998), np.float64(81876.39999999998), np.float64(82120.09999999998), np.float64(82174.99999999999), np.float64(82335.09999999999), np.float64(82374.19999999998), np.float64(82473.39999999998), np.float64(82532.39999999998), np.float64(82574.49999999997), np.float64(82572.89999999998), np.float64(82589.79999999999), np.float64(82583.09999999999), np.float64(82594.9)]"
1,4.399999999999999,1,"[np.float64(49409.399999999994), np.float64(58442.79999999999), np.float64(68281.4), np.float64(74679.59999999999), np.float64(78668.59999999999), np.float64(80735.0), np.float64(82259.4), np.float64(82907.0), np.float64(83141.2), np.float64(83331.2), np.float64(83408.79999999999), np.float64(83472.8), np.float64(83556.8), np.float64(83577.6), np.float64(83594.8), np.float64(83594.8)]"
1,4.499999999999998,1,"[np.float64(50425.1), np.float64(60541.399999999994), np.float64(70233.29999999999), np.float64(76544.99999999999), np.float64(80220.49999999999), np.float64(82436.09999999998), np.float64(83445.69999999998), np.float64(84026.29999999999), np.float64(84313.9), np.float64(84452.79999999999), np.float64(84474.19999999998), np.float64(84542.19999999998), np.float64(84572.09999999998), np.float64(84589.4)]"
1,4.599999999999998,1,"[np.float64(50724.19999999999), np.float64(61671.79999999998), np.float64(71500.99999999997), np.float64(77673.39999999997), np.float64(81781.59999999996), np.float64(83801.79999999996), np.float64(84864.99999999996), np.float64(85287.79999999996), np.float64(85466.19999999995), np.float64(85555.19999999995), np.float64(85576.79999999996), np.float64(85589.19999999997), np.float64(85589.39999999997)]"
1,4.6999999999999975,1,"[np.float64(51208.69999999998), np.float64(62815.799999999974), np.float64(73616.79999999997), np.float64(79674.19999999998), np.float64(83312.49999999999), np.float64(85110.69999999998), np.float64(85979.29999999999), np.float64(86423.79999999999), np.float64(86523.69999999998), np.float64(86576.4), np.float64(86581.9), np.float64(86594.49999999999), np.float64(86594.49999999999)]"
1,4.799999999999997,1,"[np.float64(52259.19999999999), np.float64(64593.19999999998), np.float64(74971.79999999997), np.float64(82018.19999999998), np.float64(85422.79999999999), np.float64(86652.59999999998), np.float64(87203.19999999997), np.float64(87395.79999999996), np.float64(87512.79999999996), np.float64(87563.39999999997), np.float64(87581.59999999996)]"
1,4.899999999999997,1,"[np.float64(52394.999999999985), np.float64(66268.99999999997), np.float64(76561.49999999997), np.float64(83071.19999999997), np.float64(86435.19999999995), np.float64(87877.69999999997), np.float64(88400.89999999995), np.float64(88547.09999999995), np.float64(88575.59999999995)]"
1,4.9999999999999964,1,"[np.float64(51810.999999999985), np.float64(64959.999999999985), np.float64(76485.99999999997), np.float64(83894.4), np.float64(87538.99999999999), np.float64(88916.59999999998), np.float64(89484.79999999999), np.float64(89548.79999999999), np.float64(89594.19999999998)]"
