Seed,Theta,A,Cost
6,4.0,1,"[np.float64(19664.0), np.float64(23668.0), np.float64(28328.0), np.float64(32044.0), np.float64(34612.0), np.float64(36188.0), np.float64(37316.0), np.float64(37952.0), np.float64(38604.0), np.float64(39008.0), np.float64(39276.0), np.float64(39428.0), np.float64(39572.0), np.float64(39704.0), np.float64(39788.0), np.float64(39840.0), np.float64(39888.0), np.float64(39920.0), np.float64(39964.0), np.float64(39964.0), np.float64(39976.0), np.float64(39984.0), np.float64(39984.0), np.float64(39984.0)]"
6,4.1,1,"[np.float64(20709.1), np.float64(24792.699999999997), np.float64(29884.899999999998), np.float64(33365.799999999996), np.float64(35870.899999999994), np.float64(37691.299999999996), np.float64(38638.399999999994), np.float64(39483.0), np.float64(39921.7), np.float64(40229.2), np.float64(40495.7), np.float64(40643.299999999996), np.float64(40758.1), np.float64(40815.5), np.float64(40885.2), np.float64(40934.399999999994), np.float64(40959.0), np.float64(40967.2), np.float64(40979.5), np.float64(40987.7), np.float64(40991.799999999996), np.float64(40995.899999999994)]"
6,4.199999999999999,1,"[np.float64(20920.199999999997), np.float64(25876.199999999997), np.float64(30949.799999999996), np.float64(34801.2), np.float64(37749.59999999999), np.float64(39139.799999999996), np.float64(40135.19999999999), np.float64(40731.59999999999), np.float64(41285.99999999999), np.float64(41466.59999999999), np.float64(41525.399999999994), np.float64(41693.399999999994), np.float64(41773.19999999999), np.float64(41890.799999999996), np.float64(41903.399999999994), np.float64(41920.19999999999), np.float64(41949.59999999999), np.float64(41957.99999999999), np.float64(41966.399999999994), np.float64(41974.799999999996), np.float64(41983.19999999999), np.float64(41987.399999999994), np.float64(41987.399999999994)]"
6,4.299999999999999,1,"[np.float64(21917.099999999995), np.float64(27309.299999999992), np.float64(32658.499999999993), np.float64(36709.09999999999), np.float64(39306.29999999999), np.float64(40888.69999999999), np.float64(41808.89999999999), np.float64(42152.89999999999), np.float64(42471.09999999999), np.float64(42612.99999999999), np.float64(42759.19999999999), np.float64(42849.49999999999), np.float64(42913.99999999999), np.float64(42956.99999999999), np.float64(42969.89999999999), np.float64(42978.49999999999), np.float64(42987.09999999999), np.float64(42995.69999999999)]"
6,4.399999999999999,1,"[np.float64(22215.59999999999), np.float64(28591.19999999999), np.float64(34073.59999999999), np.float64(37892.79999999999), np.float64(40607.599999999984), np.float64(41958.39999999999), np.float64(42816.39999999999), np.float64(43397.19999999998), np.float64(43687.599999999984), np.float64(43801.999999999985), np.float64(43920.79999999999), np.float64(43925.19999999998), np.float64(43960.39999999999), np.float64(43960.39999999999), np.float64(43973.599999999984), np.float64(43986.79999999999), np.float64(43995.599999999984), np.float64(43995.599999999984)]"
6,4.499999999999998,1,"[np.float64(22805.999999999993), np.float64(29348.99999999999), np.float64(35279.999999999985), np.float64(39473.999999999985), np.float64(42124.499999999985), np.float64(43514.999999999985), np.float64(44342.999999999985), np.float64(44675.999999999985), np.float64(44801.999999999985), np.float64(44909.999999999985), np.float64(44959.499999999985), np.float64(44972.999999999985), np.float64(44990.999999999985), np.float64(44995.499999999985)]"
6,4.599999999999998,1,"[np.float64(23354.19999999999), np.float64(30497.999999999985), np.float64(36827.599999999984), np.float64(40838.79999999998), np.float64(43345.79999999998), np.float64(44652.19999999998), np.float64(45434.19999999998), np.float64(45742.39999999998), np.float64(45907.99999999998), np.float64(45972.39999999998), np.float64(45995.39999999998)]"
6,4.6999999999999975,1,"[np.float64(23734.99999999999), np.float64(30897.799999999985), np.float64(37802.09999999998), np.float64(42220.09999999998), np.float64(44880.299999999974), np.float64(46050.59999999998), np.float64(46576.99999999998), np.float64(46840.199999999975), np.float64(46948.299999999974), np.float64(46985.89999999997), np.float64(46995.299999999974)]"
6,4.799999999999997,1,"[np.float64(24071.999999999985), np.float64(32179.199999999983), np.float64(39148.799999999974), np.float64(43622.39999999997), np.float64(46171.199999999975), np.float64(47251.199999999975), np.float64(47721.59999999997), np.float64(47884.799999999974), np.float64(47966.39999999997), np.float64(47995.19999999997)]"
6,4.899999999999997,1,"[np.float64(24225.599999999984), np.float64(32457.59999999998), np.float64(40106.49999999997), np.float64(44707.59999999997), np.float64(47186.99999999997), np.float64(48367.899999999965), np.float64(48789.29999999997), np.float64(48916.69999999997), np.float64(48985.29999999997)]"
6,4.9999999999999964,1,"[np.float64(24594.99999999998), np.float64(33164.99999999998), np.float64(40864.99999999997), np.float64(45894.99999999997), np.float64(48459.99999999996), np.float64(49409.99999999996), np.float64(49829.99999999996), np.float64(49934.99999999996), np.float64(49979.99999999996), np.float64(49984.99999999996), np.float64(49994.99999999996), np.float64(49994.99999999996), np.float64(49989.99999999996), np.float64(49994.99999999996)]"
