Seed,Theta,A,Social_Welfare
12,4.0,1,"[17684.175000000003, 26400.75, 31746.45000000001, 34070.125, 34846.67499999999, 34965.225000000006, 34989.725000000006]"
12,4.1,1,"[17394.350000000006, 26056.200000000004, 31481.600000000006, 34010.325, 34751.57500000001, 34947.95, 34996.5]"
12,4.199999999999999,1,"[17421.524999999998, 25906.575, 31310.875000000007, 33798.70000000002, 34693.57500000001, 34937.22500000002, 34989.500000000015, 34996.50000000002]"
12,4.299999999999999,1,"[17605.524999999998, 26521.774999999998, 31821.875, 34084.12500000001, 34773.174999999996, 34944.450000000004, 34989.499999999985]"
12,4.399999999999999,1,"[17794.250000000004, 26631.450000000004, 31788.875, 34111.9, 34776.22500000001, 34947.72500000002, 34993.00000000003]"
12,4.499999999999998,1,"[17533.44999999999, 26213.75, 31437.47499999999, 33771.350000000006, 34653.725000000006, 34930.675, 34996.5]"
12,4.599999999999998,1,"[17315.375, 25925.6, 31342.074999999997, 33892.824999999975, 34734.44999999997, 34954.724999999984, 34989.49999999998, 34992.99999999998]"
12,4.6999999999999975,1,"[17659.149999999998, 26296.624999999993, 31768.775, 34056.650000000016, 34758.725, 34972.00000000002, 34989.50000000002]"
12,4.799999999999997,1,"[17417.15, 26080.774999999994, 31368.624999999993, 33945.6, 34757.59999999999, 34961.499999999985, 34982.5, 34992.99999999999]"
12,4.899999999999997,1,"[17293.475000000002, 26046.550000000003, 31594.499999999985, 34078.32499999999, 34790.44999999998, 34965.67499999999, 34989.49999999999, 34996.49999999998]"
12,4.9999999999999964,1,"[17433.375000000004, 26250.9, 31594.0, 34011.07500000002, 34779.50000000002, 34957.550000000025, 34989.50000000002]"
