Seed,Theta,A,Social_Welfare
14,4.0,1,"[17357.625, 26017.675000000003, 31779.399999999994, 34095.875, 34764.825, 34943.774999999994, 34986.0]"
14,4.1,1,"[17347.550000000003, 26002.750000000004, 31408.02500000001, 33978.75000000001, 34755.0, 34960.82500000001]"
14,4.199999999999999,1,"[17504.575, 26236.825, 31656.85, 34006.900000000016, 34752.17500000001, 34958.450000000026]"
14,4.299999999999999,1,"[17529.175000000007, 26144.824999999993, 31498.94999999999, 33912.24999999999, 34795.75, 34978.77499999999]"
14,4.399999999999999,1,"[17261.175, 25905.125, 31344.975000000006, 33969.750000000015, 34762.90000000001, 34944.67500000001, 34993.22500000002]"
14,4.499999999999998,1,"[17522.275, 26093.425000000003, 31478.65000000001, 33911.05, 34751.499999999985, 34947.274999999994, 34986.000000000015, 34996.5]"
14,4.599999999999998,1,"[17606.175, 26390.499999999993, 31757.199999999997, 34133.12499999997, 34804.44999999998, 34975.49999999998, 34992.99999999998]"
14,4.6999999999999975,1,"[17519.524999999998, 26312.5, 31503.950000000004, 33912.84999999999, 34741.22500000001, 34933.275, 34986.00000000001]"
14,4.799999999999997,1,"[17178.674999999996, 26071.15, 31410.15, 33910.85, 34746.60000000001, 34923.674999999996, 34982.499999999985]"
14,4.899999999999997,1,"[17524.349999999995, 26045.5, 31393.95000000001, 33852.225, 34775.54999999999, 34971.99999999999, 34992.999999999985]"
14,4.9999999999999964,1,"[17754.000000000004, 26681.050000000003, 31721.800000000003, 34032.525000000016, 34797.675000000025, 34968.72500000001, 34996.50000000004]"
