Seed,Theta,A,Social_Welfare
47,4.0,1,"[17513.149999999994, 26193.375, 31444.0, 33901.75, 34695.274999999994, 34916.0, 34993.0]"
47,4.1,1,"[17552.750000000004, 26165.200000000008, 31467.825000000004, 33893.475000000006, 34713.075000000004, 34948.17499999999, 34989.5, 34993.00000000001, 34996.5]"
47,4.199999999999999,1,"[17755.600000000002, 26627.999999999996, 31888.600000000013, 34084.12500000003, 34779.12500000003, 34958.00000000003, 34985.77500000003]"
47,4.299999999999999,1,"[17625.874999999996, 26324.02499999999, 31552.799999999996, 33852.22499999999, 34752.17499999998, 34958.225, 34993.224999999984]"
47,4.399999999999999,1,"[17469.024999999994, 26542.15, 31828.200000000004, 34016.50000000001, 34744.725000000006, 34937.00000000003, 34989.50000000003]"
47,4.499999999999998,1,"[17339.725, 26323.25, 31624.875, 34096.325, 34842.725000000006, 34961.725000000006, 34989.500000000015]"
47,4.599999999999998,1,"[17201.600000000002, 25866.19999999999, 31455.47499999999, 33991.09999999998, 34768.549999999974, 34940.04999999998, 34979.67499999999, 34993.224999999984]"
47,4.6999999999999975,1,"[17427.724999999995, 26244.225, 31603.375000000007, 33989.85000000001, 34762.900000000016, 34954.72500000001, 34989.50000000001]"
47,4.799999999999997,1,"[17525.374999999993, 26176.200000000004, 31716.699999999997, 34043.399999999994, 34763.87500000001, 34958.674999999996, 34993.225]"
47,4.899999999999997,1,"[17309.15, 25899.425000000003, 31373.65000000001, 33870.4, 34723.95, 34929.99999999997, 34982.49999999997, 34996.27499999997]"
47,4.9999999999999964,1,"[17561.325, 26227.324999999997, 31564.57500000001, 33988.72500000001, 34727.45000000002, 34947.72500000001]"
