Seed,Theta,A,Payoff
31,4.0,1,"[37400.1, 55941.225000000006, 67588.275, 72808.725, 74601.675, 74932.725, 74992.5]"
31,4.1,1,"[37597.725, 56379.575, 68378.7, 73744.67499999999, 75407.275, 75878.475, 75984.79999999999]"
31,4.199999999999999,1,"[38600.399999999994, 57429.649999999994, 69390.75, 74780.82500000001, 76529.85, 76923.00000000003, 76992.30000000002]"
31,4.299999999999999,1,"[39342.899999999994, 58951.94999999999, 70348.34999999998, 75699.9, 77509.72499999998, 77883.67499999999, 77992.19999999998]"
31,4.399999999999999,1,"[39566.22499999999, 59322.62499999999, 70876.99999999999, 76654.375, 78423.975, 78881.5, 78968.40000000001]"
31,4.499999999999998,1,"[39903.92499999999, 60191.69999999998, 72290.69999999998, 77682.54999999999, 79480.67499999999, 79935.99999999999, 79991.99999999999]"
31,4.599999999999998,1,"[39158.54999999999, 59315.24999999998, 72169.87499999997, 78319.79999999996, 80384.39999999997, 80894.69999999995, 80991.89999999997]"
31,4.6999999999999975,1,"[40899.249999999985, 61470.72499999998, 73734.47499999998, 79582.12499999997, 81434.42499999999, 81884.97499999998, 81958.775, 81983.15, 81991.57499999998]"
31,4.799999999999997,1,"[42049.29999999999, 62933.59999999998, 75274.64999999997, 80719.59999999996, 82576.47499999998, 82950.19999999997]"
31,4.899999999999997,1,"[41545.27499999999, 62536.424999999974, 75289.12499999997, 81093.89999999997, 83236.04999999996, 83899.19999999995]"
31,4.9999999999999964,1,"[42203.92499999999, 63326.424999999974, 76493.74999999997, 82282.24999999997, 84329.84999999999, 84881.22499999998, 84991.49999999999]"
