Seed,Theta,A,Payoff
1,4.0,1,"[29939.25, 45063.25, 54229.649999999994, 58206.9, 59490.3, 59934.15]"
1,4.1,1,"[29855.899999999998, 44996.3, 54572.95, 59067.950000000004, 60591.8, 60896.30000000001, 60969.50000000001, 60987.8]"
1,4.199999999999999,1,"[31454.6, 46731.85, 56067.6, 60133.65, 61442.0, 61888.850000000006, 61975.5, 61993.95]"
1,4.299999999999999,1,"[31702.249999999996, 47463.79999999999, 56970.849999999984, 61236.09999999998, 62527.499999999985, 62918.54999999998, 62987.54999999998]"
1,4.399999999999999,1,"[31686.699999999993, 47761.04999999999, 58028.099999999984, 62406.69999999998, 63692.64999999999, 63980.79999999999]"
1,4.499999999999998,1,"[32559.34999999999, 48952.399999999994, 58825.89999999999, 63114.7, 64473.04999999999, 64902.64999999999, 64980.64999999999]"
1,4.599999999999998,1,"[32922.84999999999, 49765.44999999998, 59572.549999999974, 64051.94999999997, 65498.099999999955, 65848.19999999995, 65973.59999999998, 65993.39999999997]"
1,4.6999999999999975,1,"[33478.54999999999, 50262.84999999998, 60346.84999999998, 65057.14999999997, 66558.24999999997, 66906.49999999997, 66986.59999999998]"
1,4.799999999999997,1,"[34419.04999999999, 51216.59999999998, 61593.19999999998, 66192.14999999997, 67586.59999999998, 67844.04999999996, 67952.54999999996]"
1,4.899999999999997,1,"[34623.249999999985, 51659.24999999998, 62139.74999999998, 66976.64999999997, 68509.54999999997, 68875.79999999997]"
1,4.9999999999999964,1,"[34331.94999999998, 51784.549999999974, 62460.09999999998, 67472.84999999998, 69425.54999999999, 69880.69999999998, 69986.15]"
