Seed,Theta,A,Payoff
33,4.0,1,"[29646.25, 44735.7, 53897.549999999996, 58296.3, 59663.399999999994, 59946.15, 59994.15]"
33,4.1,1,"[30831.3, 45442.85, 54735.8, 59120.9, 60554.40000000001, 60914.600000000006, 60987.65000000001]"
33,4.199999999999999,1,"[30435.499999999996, 45699.55, 55445.7, 59954.600000000006, 61491.6, 61882.2, 61981.4, 61993.8]"
33,4.299999999999999,1,"[31335.499999999993, 47468.84999999999, 57053.54999999999, 61469.54999999998, 62634.89999999998, 62911.94999999998, 62962.19999999998]"
33,4.399999999999999,1,"[32015.749999999993, 48100.399999999994, 57951.69999999999, 62303.09999999999, 63679.69999999998, 63980.79999999998]"
33,4.499999999999998,1,"[32278.89999999999, 48247.54999999999, 58048.94999999999, 62731.499999999985, 64311.29999999999, 64798.94999999999, 64947.999999999985, 64993.349999999984]"
33,4.599999999999998,1,"[33381.94999999998, 49813.19999999998, 59879.299999999974, 64122.19999999996, 65545.49999999997, 65940.74999999997, 65986.79999999996]"
33,4.6999999999999975,1,"[33196.34999999999, 50074.19999999998, 60045.84999999998, 64876.54999999997, 66558.24999999997, 66932.99999999997, 66993.29999999997]"
33,4.799999999999997,1,"[34032.69999999998, 51305.39999999998, 61558.649999999965, 66007.29999999999, 67435.44999999997, 67863.84999999998, 67979.59999999996, 67993.19999999997]"
33,4.899999999999997,1,"[34044.39999999998, 51224.39999999998, 61976.09999999998, 66854.99999999997, 68420.69999999998, 68889.59999999998, 68986.19999999998]"
33,4.9999999999999964,1,"[35362.04999999998, 52589.34999999998, 63238.09999999998, 68039.84999999998, 69615.44999999998, 69937.29999999999, 69985.99999999999]"
