Seed,Theta,A,Payoff
17,4.0,1,"[30365.350000000002, 45233.85, 54252.649999999994, 58315.35, 59593.35, 59910.6, 59988.15]"
17,4.1,1,"[30858.199999999997, 46168.649999999994, 55381.0, 59470.350000000006, 60690.000000000015, 60975.600000000006]"
17,4.199999999999999,1,"[30852.649999999998, 46566.0, 55870.35, 60221.25, 61659.2, 61906.7, 61962.65, 61993.8]"
17,4.299999999999999,1,"[31672.949999999997, 47522.299999999996, 57181.94999999998, 61418.54999999998, 62641.19999999998, 62949.44999999998, 62987.39999999998]"
17,4.399999999999999,1,"[31934.299999999992, 47555.09999999999, 56858.39999999998, 61435.89999999999, 63232.89999999999, 63795.349999999984, 63974.39999999998]"
17,4.499999999999998,1,"[33072.45, 49180.34999999999, 58702.34999999999, 62992.19999999999, 64499.94999999999, 64902.499999999985, 64986.999999999985, 64993.499999999985]"
17,4.599999999999998,1,"[32495.049999999992, 49378.54999999999, 59241.44999999998, 63986.899999999965, 65498.39999999995, 65900.84999999996, 65980.19999999997, 65986.79999999996, 65986.79999999996]"
17,4.6999999999999975,1,"[33683.34999999999, 50351.249999999985, 60401.24999999997, 65083.94999999997, 66671.74999999997, 66973.19999999998]"
17,4.799999999999997,1,"[33756.999999999985, 50626.84999999998, 61254.44999999997, 65905.89999999997, 67510.39999999997, 67918.24999999997]"
17,4.899999999999997,1,"[34486.19999999998, 51522.049999999974, 62274.449999999975, 66999.99999999997, 68572.69999999998, 68958.59999999998]"
17,4.9999999999999964,1,"[34842.69999999998, 52575.69999999998, 63252.299999999974, 67781.99999999999, 69468.79999999999, 69902.14999999998, 69985.99999999999]"
