Seed,Theta,A,Cost
8,4.0,1,"[20136.0, 29920.0, 35892.0, 38736.0, 39728.0, 39948.0, 39996.0]"
8,4.1,1,"[20725.5, 30926.299999999996, 37088.6, 39975.0, 40799.1, 40959.0, 40987.7]"
8,4.199999999999999,1,"[21008.399999999998, 31701.599999999995, 38081.399999999994, 40836.59999999999, 41756.399999999994, 41962.19999999999, 41995.799999999996]"
8,4.299999999999999,1,"[21689.199999999993, 32555.299999999992, 39164.39999999999, 41937.89999999999, 42797.89999999999, 42969.89999999999]"
8,4.399999999999999,1,"[22580.799999999992, 33655.59999999999, 40004.79999999999, 42877.999999999985, 43678.79999999999, 43933.999999999985, 43982.39999999999]"
8,4.499999999999998,1,"[22535.999999999993, 33844.499999999985, 40616.999999999985, 43658.999999999985, 44698.499999999985, 44945.999999999985, 44995.499999999985]"
8,4.599999999999998,1,"[23174.79999999999, 34325.19999999998, 41639.19999999998, 44877.59999999998, 45792.99999999998, 45958.59999999998, 45986.199999999975, 45995.39999999998]"
8,4.6999999999999975,1,"[23781.99999999999, 35311.099999999984, 42563.199999999975, 45641.699999999975, 46614.59999999998, 46905.99999999998, 46985.89999999997]"
8,4.799999999999997,1,"[24091.199999999986, 35908.79999999998, 43252.799999999974, 46607.99999999997, 47654.39999999997, 47923.19999999997, 47990.39999999997]"
8,4.899999999999997,1,"[24230.499999999985, 36426.59999999998, 43957.89999999997, 47451.59999999997, 48607.99999999997, 48950.99999999997, 48995.09999999997]"
8,4.9999999999999964,1,"[25224.99999999998, 37574.99999999997, 45244.99999999997, 48694.99999999996, 49699.99999999996, 49969.99999999996]"
