Seed,Theta,A,Social_Welfare
41,4.0,1,"[9961.75, 14969.399999999998, 18031.300000000003, 19448.0, 19876.3, 19986.15, 19998.0]"
41,4.1,1,"[10254.050000000087, 15288.399999999416, 18129.649999999627, 19458.550000000047, 19897.549999999992, 19992.0]"
41,4.199999999999999,1,"[10016.249999998261, 14933.799999998475, 17987.54999999998, 19366.600000000057, 19856.149999999994, 19970.0, 19998.0]"
41,4.299999999999999,1,"[9913.150000001719, 14842.750000001597, 17914.050000000156, 19350.299999999934, 19814.300000000007, 19964.45, 19998.0]"
41,4.399999999999999,1,"[10155.49999999952, 15205.050000000047, 18138.250000000433, 19495.149999999958, 19893.550000000003, 19992.0]"
41,4.499999999999998,1,"[9966.899999999994, 14983.249999999996, 18007.949999999997, 19390.65, 19870.0, 19977.85, 19992.0, 19998.0]"
41,4.599999999999998,1,"[9752.450000000576, 14817.750000000466, 17953.1499999995, 19413.20000000005, 19870.25, 19970.499999999996]"
41,4.6999999999999975,1,"[10074.899999998048, 15039.849999998343, 18164.699999999895, 19486.650000000038, 19870.149999999994, 19960.449999999997, 19998.0]"
41,4.799999999999997,1,"[9989.300000001913, 14935.450000001769, 17981.350000000268, 19459.549999999945, 19889.850000000002, 19972.149999999998, 19994.0]"
41,4.899999999999997,1,"[10030.749999998883, 15017.649999999321, 18065.400000000456, 19425.24999999995, 19864.600000000006, 19984.3]"
41,4.9999999999999964,1,"[9823.549999999992, 14904.799999999992, 17840.34999999999, 19276.999999999996, 19802.949999999997, 19958.0, 19992.0]"
