Seed,Theta,A,Payoff
44,4.0,1,"[30062.35, 45128.6, 54333.5, 58254.65, 59490.3, 59856.0, 59970.15, 59994.0]"
44,4.1,1,"[30668.449999999997, 45853.399999999994, 55060.100000000006, 59170.25, 60542.40000000001, 60926.8, 60981.55]"
44,4.199999999999999,1,"[31316.5, 47196.299999999996, 56471.3, 60587.0, 61690.9, 61944.65]"
44,4.299999999999999,1,"[31359.949999999997, 46800.24999999999, 56484.849999999984, 61116.049999999974, 62578.499999999985, 62918.39999999998, 62993.69999999998]"
44,4.399999999999999,1,"[32066.049999999996, 48245.79999999999, 57644.54999999999, 62016.29999999999, 63507.499999999985, 63904.29999999999, 63987.19999999998]"
44,4.499999999999998,1,"[32885.19999999999, 49106.34999999999, 58675.94999999999, 63108.34999999999, 64622.84999999999, 64941.499999999985, 64993.499999999985]"
44,4.599999999999998,1,"[33652.45, 50152.84999999999, 59986.44999999997, 64291.399999999965, 65531.39999999996, 65940.74999999997, 65993.39999999997]"
44,4.6999999999999975,1,"[33358.04999999999, 49960.59999999998, 60233.899999999965, 64856.149999999965, 66524.74999999997, 66932.99999999997]"
44,4.799999999999997,1,"[33635.29999999999, 50645.49999999997, 61233.09999999998, 65912.24999999997, 67544.99999999997, 67911.74999999997, 67979.59999999998]"
44,4.899999999999997,1,"[33962.19999999998, 51301.04999999998, 61844.49999999997, 66722.59999999998, 68372.09999999998, 68875.64999999997, 68986.19999999998]"
44,4.9999999999999964,1,"[34912.39999999998, 52195.549999999974, 62907.949999999975, 67948.99999999999, 69530.54999999999, 69936.99999999999]"
