Seed,Theta,A,Cooperator_Frequency
29,4.0,1,"[4965, 7421, 8995, 9721, 9919, 9976, 9992]"
29,4.1,1,"[4960, 7459, 8975, 9686, 9926, 9978, 9991, 9997, 9999]"
29,4.199999999999999,1,"[4964, 7444, 8976, 9671, 9925, 9987, 9997, 9999]"
29,4.299999999999999,1,"[4965, 7442, 8981, 9704, 9935, 9987, 9998]"
29,4.399999999999999,1,"[5004, 7450, 8948, 9661, 9914, 9984]"
29,4.499999999999998,1,"[4964, 7420, 8961, 9673, 9919, 9986, 9996]"
29,4.599999999999998,1,"[4947, 7418, 8939, 9697, 9916, 9980, 9996]"
29,4.6999999999999975,1,"[4967, 7507, 9048, 9688, 9928, 9990, 9999]"
29,4.799999999999997,1,"[5004, 7447, 9006, 9729, 9940, 9990, 9999]"
29,4.899999999999997,1,"[5040, 7545, 8994, 9676, 9925, 9983, 9998]"
29,4.9999999999999964,1,"[5035, 7582, 9010, 9678, 9914, 9985, 9999]"
