Seed,Theta,A,Payoff
32,4.0,1,"[29492.55, 44581.35, 53923.0, 57954.75, 59484.3, 59886.0, 59976.0]"
32,4.1,1,"[30134.65, 45452.25, 54973.950000000004, 59165.55000000001, 60506.8, 60878.450000000004, 60981.70000000001]"
32,4.199999999999999,1,"[31236.649999999998, 46851.84999999999, 56037.3, 60277.600000000006, 61566.6, 61932.100000000006, 61987.75]"
32,4.299999999999999,1,"[31594.399999999994, 47717.09999999999, 57004.849999999984, 61211.999999999985, 62603.84999999998, 62950.04999999998, 62993.849999999984]"
32,4.399999999999999,1,"[32524.199999999993, 48313.249999999985, 57953.14999999999, 62297.499999999985, 63680.29999999999, 63961.599999999984]"
32,4.499999999999998,1,"[32167.39999999999, 48311.649999999994, 58192.749999999985, 62880.44999999999, 64512.64999999999, 64902.64999999999, 64980.499999999985]"
32,4.599999999999998,1,"[32952.14999999999, 49840.499999999985, 59953.99999999997, 64152.04999999996, 65663.24999999996, 65947.19999999995]"
32,4.6999999999999975,1,"[33830.44999999998, 50223.79999999998, 60548.59999999998, 65023.99999999997, 66504.59999999998, 66932.99999999997, 66986.59999999998, 66986.59999999998]"
32,4.799999999999997,1,"[33712.599999999984, 50708.04999999998, 61166.69999999997, 66082.19999999998, 67557.74999999997, 67925.19999999997, 67979.59999999996, 67993.19999999997]"
32,4.899999999999997,1,"[34341.64999999998, 52048.89999999998, 62398.84999999998, 67034.54999999997, 68558.39999999997, 68882.69999999998, 68972.39999999998, 68986.19999999998]"
32,4.9999999999999964,1,"[35062.29999999999, 52974.799999999974, 63385.14999999998, 67900.44999999998, 69552.15, 69901.99999999999, 69978.99999999999]"
