Seed,Theta,A,Social_Welfare
16,4.0,1,"[9873.599999999999, 14789.949999999997, 17852.85, 19358.75, 19822.450000000004, 19960.300000000003, 19991.85, 19998.0]"
16,4.1,1,"[9979.500000000418, 15022.45000000409, 17985.950000006247, 19411.10000000728, 19843.7000000076, 19952.30000000768, 19980.300000007694, 19996.150000007714]"
16,4.199999999999999,1,"[10048.999999998014, 15102.899999996174, 18169.299999999726, 19504.95000000167, 19898.00000000225, 19980.000000002365, 19994.000000002387, 19998.000000002394]"
16,4.299999999999999,1,"[10226.200000002082, 15242.2500000039, 18238.399999999543, 19491.349999997714, 19870.44999999716, 19963.999999997017, 19989.999999996988]"
16,4.399999999999999,1,"[9919.749999999149, 14922.999999995503, 17921.949999993325, 19425.049999992225, 19897.89999999188, 19983.999999991822, 19995.999999991807, 19997.999999991807]"
16,4.499999999999998,1,"[10072.649999999994, 15021.099999999999, 18064.65, 19443.699999999997, 19894.149999999994, 19989.999999999993]"
16,4.599999999999998,1,"[10010.90000000118, 15068.400000004855, 18116.500000007065, 19440.450000008015, 19854.450000008314, 19972.3000000084, 19994.150000008412, 19998.00000000842]"
16,4.6999999999999975,1,"[9990.599999997848, 14941.349999997852, 17911.450000002165, 19302.35000000419, 19811.900000004935, 19966.00000000516, 19994.000000005188]"
16,4.799999999999997,1,"[9788.150000002086, 14784.600000001832, 17851.79999999737, 19277.84999999529, 19812.299999994517, 19967.99999999428, 19997.999999994237]"
16,4.899999999999997,1,"[10170.499999998301, 15138.599999994687, 18110.199999992525, 19432.89999999156, 19879.549999991235, 19967.69999999117, 19991.99999999116]"
16,4.9999999999999964,1,"[10080.949999999986, 15005.649999999987, 18034.649999999987, 19387.849999999984, 19875.69999999999, 19979.849999999984, 19995.999999999993]"
