Generation,Cooperator Count,Interference Cost,Social Welfare
0,5076,22842.0,28030.0
1,6459,29065.5,59728.600000000006
2,7798,0.0,94996.79999999999
3,6565,29542.5,125986.79999999999
4,7931,0.0,161099.8
5,6924,31158.0,192778.8
6,8122,0.0,228270.8
7,7217,32476.5,260693.8
8,8340,0.0,296637.4
9,7511,0.0,329805.2
10,6670,30015.0,360030.6
11,7791,0.0,394124.6000000001
12,7029,31630.5,425612.4
13,8081,0.0,460571.6000000001
14,7329,32980.5,492961.0
15,8294,0.0,528391.0
16,7663,0.0,561738.0
17,6992,31464.0,592827.2
18,8002,0.0,627411.6
19,7274,32733.0,659414.0
20,8220,0.0,694597.6000000001
21,7545,0.0,727454.6
22,6851,30829.5,757737.0
23,7776,0.0,791320.8
24,7114,32013.0,822581.8
25,7966,0.0,856771.0
26,7358,33111.0,888865.0
27,8194,0.0,923828.2
28,7603,0.0,956816.2
29,6936,31212.0,987388.3999999999
30,7841,0.0,1021143.8
31,7236,32562.0,1052801.2
32,8099,0.0,1087432.2000000002
33,7469,33610.5,1119872.8
34,8271,0.0,1155017.7999999998
35,7675,0.0,1188076.2
36,7048,31716.0,1218863.4
37,7844,0.0,1252478.7999999998
38,7275,32737.5,1284066.6
39,8080,0.0,1318486.8
40,7510,0.0,1350914.4
41,6899,31045.5,1381129.6
42,7770,0.0,1414424.4
43,7208,32436.0,1445689.6
44,7979,0.0,1479665.0
45,7436,33462.0,1511798.7999999998
46,8163,0.0,1546422.2000000002
47,7611,0.0,1579069.2000000002
48,7088,31896.0,1609854.6
49,7830,0.0,1643284.7999999998
