Generation,Cooperator Count,Interference Cost,Social Welfare
0,5076,22842.0,28030.0
1,6481,29164.5,59869.0
2,7823,35203.5,95257.0
3,8787,39541.5,132806.2
4,9350,42075.0,171419.0
5,9647,43411.5,210531.0
6,9831,44239.5,249911.59999999998
7,9926,44667.0,289428.3999999999
8,9959,44815.5,328980.0
9,9979,44905.5,368555.3999999999
10,9992,44964.0,408149.0
11,9994,44973.0,447742.6
12,9997,44986.5,487340.19999999995
13,9999,44995.5,526939.3999999999
14,10000,0.0,566539.4000000001
