Generation,Cooperator Count,Interference Cost,Social Welfare
0,5076,0.0,28030.0
1,2768,0.0,44162.8
2,1499,6745.5,53147.4
3,2440,10980.0,66534.20000000001
4,3547,0.0,84754.6
5,2716,0.0,99423.4
6,1907,8581.5,109997.6
7,2820,0.0,124686.40000000002
8,2125,9562.5,136180.2
9,3038,0.0,151636.8
10,2427,10921.5,164434.8
11,3326,0.0,181069.2
12,2626,0.0,194718.2
13,1995,8977.5,205384.40000000002
14,2808,0.0,219609.2
15,2233,10048.5,231351.60000000003
16,3068,0.0,246706.60000000003
17,2502,0.0,259646.0
18,1970,8865.0,270069.0
19,2716,0.0,283682.6
20,2208,9936.0,295131.20000000007
21,3019,0.0,310006.6
22,2510,0.0,322813.80000000005
23,1961,8824.5,333078.2
24,2689,0.0,346424.60000000003
25,2235,10057.5,357891.0
26,3001,0.0,372615.20000000007
27,2480,11160.0,385138.60000000003
28,3277,0.0,400985.6
29,2746,0.0,414669.0
30,2263,10183.5,426223.0
31,3061,0.0,441139.40000000014
32,2513,0.0,453757.6000000001
33,2029,9130.5,464145.6000000001
34,2745,0.0,477632.4
35,2274,10233.0,489152.0
36,3039,0.0,503937.19999999995
37,2508,0.0,516524.6
38,2003,9013.5,526802.3999999999
39,2673,0.0,539889.8
40,2224,10008.0,551098.2
41,2936,0.0,565284.8
42,2470,11115.0,577559.2
43,3202,0.0,592844.6
44,2708,0.0,606147.6000000001
45,2226,10017.0,617317.8
46,2935,0.0,631468.4
47,2485,11182.5,643847.6000000001
48,3214,0.0,659214.6
49,2696,0.0,672555.8
