Seed,Theta,A,Cost
20,4.0,1,"[19644.0, 29508.0, 35868.0, 38744.0, 39688.0, 39920.0, 39984.0]"
20,4.1,1,"[20700.899999999998, 30840.199999999997, 37158.299999999996, 39925.799999999996, 40774.5, 40967.2, 40995.899999999994]"
20,4.199999999999999,1,"[21323.399999999998, 31991.399999999994, 38093.99999999999, 40840.799999999996, 41781.59999999999, 41966.399999999994]"
20,4.299999999999999,1,"[21590.299999999996, 32344.59999999999, 38833.29999999999, 41757.29999999999, 42638.79999999999, 42909.69999999999, 42978.49999999999, 42995.69999999999]"
20,4.399999999999999,1,"[21718.399999999994, 32348.79999999999, 39349.19999999999, 42552.39999999999, 43617.19999999998, 43911.999999999985, 43991.19999999998]"
20,4.499999999999998,1,"[22598.999999999993, 33830.999999999985, 40580.999999999985, 43685.999999999985, 44630.999999999985, 44905.499999999985, 44981.999999999985, 44995.499999999985]"
20,4.599999999999998,1,"[22921.79999999999, 34430.999999999985, 41321.79999999998, 44537.19999999998, 45650.39999999998, 45958.59999999998]"
20,4.6999999999999975,1,"[23626.899999999987, 35494.39999999998, 42774.699999999975, 45829.699999999975, 46699.199999999975, 46938.89999999997, 46990.59999999998]"
20,4.799999999999997,1,"[24028.799999999985, 35937.59999999998, 43180.799999999974, 46550.39999999997, 47649.59999999997, 47918.39999999997, 47990.39999999997]"
20,4.899999999999997,1,"[24401.999999999985, 36686.299999999974, 43972.59999999997, 47387.89999999997, 48666.79999999997, 48921.59999999997, 48985.29999999997]"
20,4.9999999999999964,1,"[24954.99999999998, 37554.99999999997, 44884.99999999997, 48369.99999999996, 49559.99999999996, 49879.99999999996, 49964.99999999996]"
