Seed,Theta,A,Social_Welfare
49,4.0,1,"[2528.7999999999993, 3749.800000000003, 4487.824999999997, 4822.024999999994, 4952.0, 4989.0, 4998.5]"
49,4.1,1,"[2517.125, 3763.2750000000015, 4523.725000000013, 4854.400000000009, 4967.575000000004, 4992.000000000015, 4998.500000000015]"
49,4.199999999999999,1,"[2475.4500000000007, 3731.9499999999935, 4505.4749999999985, 4843.775000000009, 4959.300000000003, 4991.725000000006]"
49,4.299999999999999,1,"[2516.149999999998, 3776.2750000000015, 4520.799999999996, 4854.874999999993, 4961.799999999996, 4992.924999999988, 4997.499999999993, 4998.999999999993]"
49,4.399999999999999,1,"[2524.1749999999993, 3749.3250000000044, 4505.2750000000015, 4845.75, 4962.725000000006, 4989.0, 4994.925000000003, 4999.1500000000015, 4999.575000000004]"
49,4.499999999999998,1,"[2539.9999999999964, 3770.300000000003, 4512.875, 4856.300000000003, 4964.000000000007, 4994.150000000009]"
49,4.599999999999998,1,"[2460.675000000003, 3684.0499999999956, 4470.2750000000015, 4843.649999999994, 4961.074999999997, 4997.074999999997]"
49,4.6999999999999975,1,"[2502.7249999999985, 3744.7499999999927, 4504.099999999991, 4849.224999999991, 4965.07499999999, 4994.424999999988, 4998.499999999993]"
49,4.799999999999997,1,"[2474.2999999999993, 3734.9249999999956, 4502.9000000000015, 4844.825000000004, 4965.2249999999985, 4997.075000000004]"
49,4.899999999999997,1,"[2466.800000000003, 3707.824999999997, 4489.650000000009, 4840.0, 4956.875000000007, 4990.650000000009, 4997.5, 4999.500000000007]"
49,4.9999999999999964,1,"[2494.350000000002, 3743.2750000000015, 4514.149999999994, 4854.325000000004, 4966.425000000003, 4995.500000000007]"
