Seed,Theta,A,Payoff
3,4.0,1,"[22784.275, 34246.049999999996, 40877.225, 43690.3, 44635.125, 44945.925, 44995.575]"
3,4.1,1,"[22848.0, 34164.125, 41059.524999999994, 44398.90000000001, 45659.675, 45944.80000000001, 45990.80000000001]"
3,4.199999999999999,1,"[23392.5, 35067.975, 42127.424999999996, 45505.399999999994, 46661.575, 46957.65]"
3,4.299999999999999,1,"[23905.924999999996, 35876.325, 43142.77499999999, 46665.874999999985, 47683.599999999984, 47956.94999999998]"
3,4.399999999999999,1,"[24735.399999999994, 36980.94999999999, 44247.89999999999, 47467.124999999985, 48628.19999999998, 48921.599999999984, 48990.19999999998]"
3,4.499999999999998,1,"[24590.07499999999, 37255.45, 44700.29999999999, 48480.22499999999, 49619.999999999985, 49929.99999999999, 49984.99999999999]"
3,4.599999999999998,1,"[25514.899999999987, 38148.29999999999, 45987.52499999998, 49618.34999999998, 50709.449999999975, 50944.12499999998, 50994.97499999997]"
3,4.6999999999999975,1,"[25490.72499999999, 38746.349999999984, 46717.674999999974, 50481.97499999996, 51636.29999999997, 51937.67499999996, 51994.79999999996]"
3,4.799999999999997,1,"[26657.149999999987, 39472.69999999998, 47614.89999999997, 51442.09999999998, 52607.87499999998, 52962.899999999965, 52989.399999999965]"
3,4.899999999999997,1,"[27381.599999999984, 40639.44999999998, 49091.49999999997, 52558.174999999974, 53708.749999999985, 53962.22499999998, 53994.59999999998]"
3,4.9999999999999964,1,"[27081.399999999983, 40968.074999999975, 49378.19999999997, 53322.19999999997, 54576.34999999998, 54922.924999999974, 54988.99999999997]"
