Generation,Cooperator Count,Interference Cost,Social Welfare
0,5076,18672.5,28030.0
1,6553,13068.0,60525.600000000006
2,7041,11352.0,94581.79999999999
3,7243,10136.5,129185.0
4,7229,10103.5,163667.0
5,7280,9680.0,198341.2
6,7238,10142.0,232889.8
7,7320,9718.5,267643.4
8,7295,9542.5,302317.80000000005
9,7277,9817.5,336947.19999999995
10,7363,9553.5,371813.6
11,7268,9999.0,406474.19999999995
12,7315,9498.5,441165.20000000007
13,7344,9614.0,475941.19999999995
14,7359,9575.5,510818.4
15,7376,9575.5,545755.8
16,7321,9707.5,580480.6
17,7260,10175.0,615129.0000000001
18,7309,9718.5,649911.4000000001
19,7303,10015.5,684699.7999999999
20,7224,10444.5,719273.2000000001
21,7304,9927.5,754045.0
22,7321,9394.0,788777.0
23,7336,9564.5,823609.8
24,7364,9553.5,858487.0
25,7353,9289.5,893286.6000000001
26,7280,9669.0,927903.3999999999
27,7248,10312.5,962483.7999999998
28,7359,9471.0,997331.2
29,7339,9432.5,1032110.0
30,7336,9625.0,1066895.4000000001
31,7343,9680.0,1101718.4
32,7365,9410.5,1136619.2000000002
33,7344,9608.5,1171500.2000000002
34,7286,9691.0,1206182.0
35,7304,9592.0,1240855.6
36,7381,9003.5,1275752.4
37,7355,9454.5,1310636.0
38,7322,9289.5,1345389.4
39,7321,9927.5,1380221.0
40,7291,9894.5,1414939.4
41,7291,9724.0,1449639.4
42,7278,9982.5,1484309.8
43,7292,9641.5,1518979.0
44,7329,9553.5,1553769.0
45,7263,9982.5,1588376.6
46,7309,9575.5,1623091.8
47,7275,10175.0,1657816.7999999998
48,7283,9812.0,1692467.6000000006
49,7322,9586.5,1727223.4000000004
