Seed,Theta,A,Cost
42,4.0,1,"[20304.0, 30236.0, 36236.0, 38808.0, 39712.0, 39936.0, 39988.0]"
42,4.1,1,"[20237.59999999966, 30479.399999996025, 36858.999999993765, 39769.99999999273, 40766.29999999238, 40975.3999999923, 40995.899999992296]"
42,4.199999999999999,1,"[20907.600000001952, 31403.40000000377, 37762.20000000054, 40714.7999999985, 41676.59999999783, 41962.19999999763, 41991.59999999761]"
42,4.299999999999999,1,"[21499.999999997995, 32215.599999996182, 38704.300000000105, 41735.80000000216, 42703.30000000281, 42961.300000002986, 42995.70000000301]"
42,4.399999999999999,1,"[22277.200000000994, 33096.80000000457, 39666.000000006745, 42605.20000000772, 43661.200000008066, 43929.600000008155, 43991.200000008175, 43995.60000000818]"
42,4.499999999999998,1,"[22220.999999999996, 33614.99999999999, 40526.99999999999, 43546.49999999999, 44630.99999999999, 44909.99999999999, 44977.49999999999, 44995.49999999999]"
42,4.599999999999998,1,"[22838.999999998872, 34062.99999999532, 41123.99999999309, 44596.99999999199, 45677.99999999165, 45944.79999999156, 45995.39999999155]"
42,4.6999999999999975,1,"[23542.300000002153, 35212.40000000207, 42328.19999999766, 45688.69999999558, 46703.89999999495, 46929.49999999481, 46995.29999999477]"
42,4.799999999999997,1,"[23726.399999997866, 35395.19999999809, 42849.60000000261, 46536.000000004846, 47635.20000000551, 47937.600000005696, 47985.600000005725, 47995.20000000573]"
42,4.899999999999997,1,"[24627.40000000159, 36936.20000000524, 44374.40000000745, 47686.800000008436, 48735.40000000875, 48975.50000000882]"
42,4.9999999999999964,1,"[24854.999999999996, 37374.99999999999, 44914.99999999999, 48334.99999999999, 49619.99999999999, 49909.99999999999, 49994.99999999999]"
